SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FG2M,FG2A,FG2_PTS,FG3_PTS,FRAC_ATT_2PT,FRAC_ATT_3PT,FRAC_MK_2PT,FRAC_MK_3PT,FRAC_PTS_2PT,FRAC_PTS_3PT,FRAC_PTS_FT,OPP_TEAM_ABBR,OPP_PTS,MONTH,YEAR,HOME_AWAY,CONFERENCE,OPP_CONFERENCE,DATE_MATCHUP
22025,1610612764,WAS,Washington Wizards,0022500109,2025-10-26,WAS vs. CHA,L,240,41,91,0.451,10,34,0.294,21,25,0.84,7,33,40,25,5,4,15,27,113,-26,1,31,57,62,30,0.6263736263736264,0.37362637362637363,0.7560975609756098,0.24390243902439024,0.5486725663716814,0.26548672566371684,0.18584070796460178,CHA,139,10,2025,HOME,EAST,EAST,10-26 vs. CHA
22025,1610612751,BKN,Brooklyn Nets,0022500105,2025-10-26,BKN @ SAS,L,240,34,87,0.391,16,50,0.32,23,24,0.958,11,23,34,22,9,0,12,30,107,-11,1,18,37,36,48,0.42528735632183906,0.5747126436781609,0.5294117647058824,0.47058823529411764,0.3364485981308411,0.4485981308411215,0.21495327102803738,SAS,118,10,2025,AWAY,EAST,WEST,10-26 @ SAS
22025,1610612759,SAS,San Antonio Spurs,0022500105,2025-10-26,SAS vs. BKN,W,240,39,78,0.5,12,27,0.444,28,36,0.778,11,34,45,20,7,6,15,23,118,11,1,27,51,54,36,0.6538461538461539,0.34615384615384615,0.6923076923076923,0.3076923076923077,0.4576271186440678,0.3050847457627119,0.23728813559322035,BKN,107,10,2025,HOME,WEST,EAST,10-26 vs. BKN
22025,1610612766,CHA,Charlotte Hornets,0022500109,2025-10-26,CHA @ WAS,W,240,47,92,0.511,15,38,0.395,30,36,0.833,11,41,52,30,12,4,12,16,139,26,1,32,54,64,45,0.5869565217391305,0.41304347826086957,0.6808510638297872,0.3191489361702128,0.460431654676259,0.3237410071942446,0.2158273381294964,WAS,113,10,2025,AWAY,EAST,EAST,10-26 @ WAS
22025,1610612765,DET,Detroit Pistons,0022500007,2025-10-27,DET vs. CLE,L,240,33,87,0.379,11,34,0.324,18,27,0.667,16,32,48,20,12,4,26,29,95,-21,1,22,53,44,33,0.6091954022988506,0.39080459770114945,0.6666666666666666,0.3333333333333333,0.4631578947368421,0.3473684210526316,0.18947368421052632,CLE,116,10,2025,HOME,EAST,EAST,10-27 vs. CLE
22025,1610612739,CLE,Cleveland Cavaliers,0022500007,2025-10-27,CLE @ DET,W,240,39,85,0.459,11,35,0.314,27,35,0.771,12,36,48,25,11,4,20,25,116,21,1,28,50,56,33,0.5882352941176471,0.4117647058823529,0.717948717948718,0.28205128205128205,0.4827586206896552,0.28448275862068967,0.23275862068965517,DET,95,10,2025,AWAY,EAST,EAST,10-27 @ DET
22025,1610612753,ORL,Orlando Magic,0022500114,2025-10-27,ORL @ PHI,L,240,45,82,0.549,8,25,0.32,26,38,0.684,13,30,43,27,4,7,13,22,124,-12,1,37,57,74,24,0.6951219512195121,0.3048780487804878,0.8222222222222222,0.17777777777777778,0.5967741935483871,0.1935483870967742,0.20967741935483872,PHI,136,10,2025,AWAY,EAST,EAST,10-27 @ PHI
22025,1610612740,NOP,New Orleans Pelicans,0022500117,2025-10-27,NOP vs. BOS,L,240,28,84,0.333,9,36,0.25,25,28,0.893,11,24,35,17,7,0,14,19,90,-32,1,19,48,38,27,0.5714285714285714,0.42857142857142855,0.6785714285714286,0.32142857142857145,0.4222222222222222,0.3,0.2777777777777778,BOS,122,10,2025,HOME,EAST,EAST,10-27 vs. BOS
22025,1610612760,OKC,Oklahoma City Thunder,0022500119,2025-10-27,OKC @ DAL,W,240,42,90,0.467,6,30,0.2,11,13,0.846,9,46,55,21,5,5,13,23,101,7,1,36,60,72,18,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.7128712871287128,0.1782178217821782,0.10891089108910891,DAL,94,10,2025,AWAY,WEST,WEST,10-27 @ DAL
22025,1610612745,HOU,Houston Rockets,0022500116,2025-10-27,HOU vs. BKN,W,240,49,85,0.576,16,32,0.5,23,26,0.885,9,30,39,33,10,4,10,22,137,28,1,33,53,66,48,0.6235294117647059,0.3764705882352941,0.673469387755102,0.32653061224489793,0.48175182481751827,0.35036496350364965,0.1678832116788321,BKN,109,10,2025,HOME,WEST,EAST,10-27 vs. BKN
22025,1610612755,PHI,Philadelphia 76ers,0022500114,2025-10-27,PHI vs. ORL,W,240,48,97,0.495,14,33,0.424,26,32,0.813,14,25,39,25,5,9,7,27,136,12,1,34,64,68,42,0.6597938144329897,0.3402061855670103,0.7083333333333334,0.2916666666666667,0.5,0.3088235294117647,0.19117647058823528,ORL,124,10,2025,HOME,EAST,EAST,10-27 vs. ORL
22025,1610612737,ATL,Atlanta Hawks,0022500115,2025-10-27,ATL @ CHI,L,240,49,98,0.5,11,32,0.344,14,20,0.7,8,28,36,32,8,1,6,17,123,-5,1,38,66,76,33,0.673469387755102,0.32653061224489793,0.7755102040816326,0.22448979591836735,0.6178861788617886,0.2682926829268293,0.11382113821138211,CHI,128,10,2025,AWAY,EAST,EAST,10-27 @ CHI
22025,1610612762,UTA,Utah Jazz,0022500120,2025-10-27,UTA vs. PHX,W,265,44,108,0.407,16,49,0.327,34,36,0.944,28,36,64,27,8,4,19,27,138,4,1,28,59,56,48,0.5462962962962963,0.4537037037037037,0.6363636363636364,0.36363636363636365,0.4057971014492754,0.34782608695652173,0.2463768115942029,PHX,134,10,2025,HOME,WEST,WEST,10-27 vs. PHX
